_id	senselabel	country	LeNC44.ppmi.x	LeNC44.ppmi.y	LeNC44.L1LLR.x	LeNC44.L1LLR.y	LeNC44.L1LLRx5.x	LeNC44.L1LLRx5.y	LeNC77.ppmi.x	LeNC77.ppmi.y	LeNC77.L1LLR.x	LeNC77.L1LLR.y	LeNC77.L1LLRx5.x	LeNC77.L1LLRx5.y	LeNC44.ppmi.MaxWeight	LeNC44.ppmi.SummedWeights	LeNC44.ppmi.Non-zeroWeights	LeNC44.ppmi.MaxWeightedWord	_text	LeNC44.L1LLR.MaxWeight	LeNC44.L1LLR.SummedWeights	LeNC44.L1LLR.Non-zeroWeights	LeNC44.L1LLR.MaxWeightedWord	LeNC44.L1LLRx5.MaxWeight	LeNC44.L1LLRx5.SummedWeights	LeNC44.L1LLRx5.Non-zeroWeights	LeNC44.L1LLRx5.MaxWeightedWord	LeNC77.ppmi.MaxWeight	LeNC77.ppmi.SummedWeights	LeNC77.ppmi.Non-zeroWeights	LeNC77.ppmi.MaxWeightedWord	LeNC77.L1LLR.MaxWeight	LeNC77.L1LLR.SummedWeights	LeNC77.L1LLR.Non-zeroWeights	LeNC77.L1LLR.MaxWeightedWord	LeNC77.L1LLRx5.MaxWeight	LeNC77.L1LLRx5.SummedWeights	LeNC77.L1LLRx5.Non-zeroWeights	LeNC77.L1LLRx5.MaxWeightedWord
koper/noun/DM_20000509_01/37304	"""buyer"""	BE	0.0011953208	0.2054541296	-1.4027481273	-1.6026384983	-0.5892739121	2.7512878911	-3.6159947632	5.0086259429	-1.2954467449	1.1352394257	1.1450324896	2.536136742	0.72	3.24	8	geregeld(0.72)	"Ook laattijdige levering ( 16 procent ) en het niet uitvoeren van het contract door de <font color=""red"">koper</font> gaven vorig jaar geregeld aanleiding tot betwisting ."	6.46	22.52	8	de(6.46)	8.07	33.61	8	de(8.07)	2.75	5.05	10	betwisting(2.75)	6.1	22.37	9	de(6.1)	7.71	33.92	9	de(7.71)
koper/noun/DM_20010201_01/25191	nd	BE	0.5804466415	1.0929496838	-1.4045708949	-0.3025978329	0.8558223886	2.232498408	-0.2650755462	-0.3917510533	-0.6383152939	0.3430733239	0.7238341287	1.4583202438	1.09	4.13	10	grond(1.09)	"Samen met zijn vrouw maakte hij van meet af aan kans <font color=""red"">koper</font> te worden van een van de vierentwintig stukken grond die verkocht worden aan drieduizend frank per vierkante meter ."	6.46	29.12	10	de(6.46)	8.07	44.19	10	de(8.07)	1.04	3.88	11	grond(1.04)	6.1	32.22	11	de(6.1)	7.71	48.56	11	de(7.71)
koper/noun/DM_20010213_01/24593	"""buyer"""	BE	0.2089799624	-0.4568506314	0.8623731267	1.7572770196	1.089976451	0.3102392506	0.9752016746	1.2272874353	0.5803927636	-0.260324772	0.7377873602	0.5380661603	5.44	13.8	13	potentiële(5.44)	"Het parket van Brussel vermoedde een poging tot oplichting en zette een valstrik op waarbij politiemensen zich zouden voordoen als potentiële <font color=""red"">kopers</font> ."	7.68	49.23	13	potentiële(7.68)	9.29	69.12	13	potentiële(9.29)	4.91	12.57	13	potentiële(4.91)	7.59	50.8	13	potentiële(7.59)	9.2	71.14	13	potentiële(9.2)
koper/noun/DM_20010821_01/34030	"""buyer"""	BE	-3.0923133667	-0.3346744808	3.2151926162	-3.4579727686	4.3221274019	4.2850813884	4.2298852681	-0.8388509256	-3.1087950767	-2.049025853	5.0771689669	0.2667223424	2.76	6.88	10	neertelden(2.76)	"De <font color=""red"">kopers</font> die gisteren zo grif 30 euro neertelden zijn misschien gokkers met een goed geheugen ."	6.46	28.83	10	de(6.46)	8.07	43.5	10	de(8.07)	3.08	7.51	11	neertelden(3.08)	6.1	33.86	11	de(6.1)	7.71	50.09	11	de(7.71)
koper/noun/DM_20020221_01/21731	"""buyer"""	BE	2.1973691995	0.2889311767	-1.7457956744	-2.4595778639	-0.3725492045	4.0594313232	1.9665303864	-0.6460570152	-1.7740439246	1.1117958049	2.1915449298	2.6631025206	2.33	4.92	6	verkocht(2.33)	"Negentig procent van de <font color=""red"">kopers</font> waren blanke tieners , aldus Pierce ."	6.46	24.97	6	de(6.46)	8.07	34.33	6	de(8.07)	2.33	4.5	6	verkocht(2.33)	6.18	26.1	6	verkocht(6.18)	7.79	35.43	6	verkocht(7.79)
koper/noun/DM_20020328_01/48957	"""buyer"""	BE	-0.7621226995	0.2736180663	-4.1908608592	2.8520144897	5.1057928901	2.2908994118	-3.2964881347	-1.7431098912	-1.2241848041	-1.5881381041	-2.5849485176	2.2751799684	0.42	1.5	5	de(0.42)	"Nu heeft Almanij bevestigd dat het de <font color=""red"">koper</font> is ."	6.46	14.87	5	de(6.46)	8.07	21.48	5	de(8.07)	1.8	3.97	8	Almanij(1.8)	6.1	18.11	8	de(6.1)	7.71	28.28	8	de(7.71)
koper/noun/DM_20021031_01/54329	"""buyer"""	BE	-0.9172441504	1.1301685517	2.7081717923	0.0383821243	-1.5188759262	-0.0230760186	-1.7255594239	1.2974696508	1.0521638389	1.0540230789	-0.7958221643	0.2839511754	0.77	1.84	6	als(0.77)	"Op het ogenblik van overlijden wordt het goed niet als onroerend vermogen opgenomen in de nalatenschap , maar veeleer als een vordering op de <font color=""red"">koper</font> ."	6.46	18.1	6	de(6.46)	8.07	25.28	6	de(8.07)	1.5	3.92	7	onroerend(1.5)	6.1	22.64	7	de(6.1)	7.71	33.26	7	de(7.71)
koper/noun/DM_20030329_01/14377	"""buyer"""	BE	2.7816242055	-0.4843386055	0.9301994636	-2.4125258861	-2.3974816557	0.1376190117	2.6954907811	-0.9049706427	0.1219763742	2.3628173739	1.9307195395	-0.3531520943	2.04	5.21	9	verhandeld(2.04)	""" Over de koers en de <font color=""red"">koper</font> kan ik ook alleen maar gissingen maken "" , zegt analist Marc Leemans van KBC Securities ."	6.46	25.38	9	de(6.46)	8.07	37.89	9	de(8.07)	1.95	4.65	10	verhandeld(1.95)	6.1	27.07	10	de(6.1)	7.71	40.35	10	de(7.71)
koper/noun/DM_20040122_01/19154	"""buyer"""	BE	-0.0112022792	1.0806183945	-2.1025906398	3.6690820178	4.1121671731	0.7752565786	-0.185119097	0.5808673533	0.9757825888	-1.3269911619	-0.2774843806	-1.5697848651	1.02	4.82	11	weinig(1.02)	"De industrie heeft maar weinig oog voor die vrouwelijke <font color=""red"">kopers</font> , hoewel die toch meer dan de helft uit het totale budget happen ."	6.46	25.95	10	De(6.46)	8.07	39.51	11	De(8.07)	0.76	3.5	10	hoewel(0.76)	6.1	26.04	10	De(6.1)	7.71	39.31	10	De(7.71)
koper/noun/DM_20050616_01/22311	"""buyer"""	BE	0.1079046831	0.9176310342	0.3589498698	1.2296250395	0.6143120353	0.5970631194	-0.0788941537	0.8138864267	0.5457792882	0.3256138304	0.0886784059	0.7731153328	2.03	5.54	9	vinden(2.03)	""" De houwitsers zullen ook na de upgrade nauwelijks nog <font color=""red"">kopers</font> vinden op de markt "" , stelde een nota van de Inspectie van Financiën ."	6.59	32.8	9	vinden(6.59)	8.2	45.37	9	vinden(8.2)	1.62	5.1	9	vinden(1.62)	6.41	35.37	9	vinden(6.41)	8.01	49.27	9	vinden(8.01)
koper/noun/DS_19990423_01/30805	"""buyer"""	BE	-0.4418340582	1.2876615692	-0.7949157529	1.2548743743	1.7318917437	0.8021694893	-0.6588924553	1.2261198676	0.1035894586	-0.1711664591	-0.3884248173	0.8808687602	1.29	5.15	14	Muzikanten(1.29)	"Muzikanten die de <font color=""red"">kopers</font> van die videogames willen aanspreken moeten wel mee zijn , en vooral in de druk gecensureerde hiphop-cd's hoor je de geweldwereld van Playstation doortrillen ."	6.46	32.64	14	de(6.46)	8.07	50.82	14	de(8.07)	0.89	3.83	14	aanspreken(0.89)	6.1	31.89	14	de(6.1)	7.71	49.99	14	de(7.71)
koper/noun/DS_20000803_01/26693	"""buyer"""	BE	-0.0329293953	2.8523482967	6.5688196543	2.418554938	-1.063638359	-4.9843826667	-0.3916817535	-0.9818740933	3.6341430007	2.1473802834	-0.0012567065	-3.4019947516	2.19	8.58	9	zoek(2.19)	""" Ik heb <font color=""red"">kopers</font> die er een half maandloon doorjagen op zoek naar zeldzame en dus waardevolle kaarten ."	5.33	31.67	9	een(5.33)	6.94	45.68	9	een(6.94)	1.8	7.79	10	zoek(1.8)	5.28	30.45	10	een(5.28)	6.88	45.49	10	een(6.88)
koper/noun/DS_20001027_01/23536	"""buyer"""	BE	1.626487225	-1.6386583024	-1.7679016324	1.5075078958	2.2348504299	1.6239003559	-1.9818784762	-1.5864023205	-0.4391235649	-0.5064662993	-0.6938286982	1.7066825587	3.36	9.06	12	TT(3.36)	" <font color=""red"">Kopers</font> van deze snelle sportcoupé kunnen dus geen enkele aanspraak maken op een schadevergoeding of op verplichte terugname van de auto ."	6.46	30.13	12	de(6.46)	8.07	45.67	12	de(8.07)	3.31	8.34	13	TT(3.31)	6.1	31.88	13	de(6.1)	7.71	48.03	13	de(7.71)
koper/noun/DS_20001031_01/25860	"""buyer"""	BE	-2.6717713891	-0.2439230742	-2.3611029565	0.270297186	1.3644920647	2.9165229579	-1.3302742177	4.7150271319	-1.1415120462	-0.0087229786	-0.1565153835	2.5804753433	1.18	2.65	6	zakenman(1.18)	"De <font color=""red"">koper</font> zou een van de zonen zijn van de Hongkongse zakenman Lee Ka Cheng ."	6.46	19.97	6	de(6.46)	8.07	29.01	6	de(8.07)	1.13	2.17	6	zakenman(1.13)	6.1	19.72	6	de(6.1)	7.71	28.58	6	de(7.71)
koper/noun/DS_20010215_01/4248	"""buyer"""	BE	-1.5449880542	-0.0574951188	-2.7099939495	1.1672073844	2.4660876769	2.6993306698	-0.967408769	2.7717295875	-0.9565777424	-0.3713095075	-0.6885613207	2.0774088489	1.09	2.58	8	recht(1.09)	""" Wij hadden ondubbelzinnig willen zien dat privé kopiëren het recht was van één persoon : de <font color=""red"">koper</font> van de informatie . """	6.46	21.97	8	de(6.46)	8.07	31.7	8	de(8.07)	1.3	2.75	9	recht(1.3)	6.1	24.14	9	de(6.1)	7.71	36.6	9	de(7.71)
koper/noun/DS_20010220_01/22126	"""buyer"""	BE	-0.2249656742	0.8767157249	-2.1604086712	0.3882936662	1.630096326	2.5329348201	-0.8816706707	0.4213953751	-0.7497891959	-0.1776924372	-0.5616762849	2.0989526769	1.03	4.51	9	gebouw(1.03)	"De vordering op grond van tienjarige aansprakelijkheid gaat over op de <font color=""red"">koper</font> van het gebouw ."	6.46	30.6	9	de(6.46)	8.07	44.36	9	de(8.07)	1.3	4.1	9	gebouw(1.3)	6.1	32.29	9	de(6.1)	7.71	46.27	9	de(7.71)
koper/noun/DS_20010503_01/379	"""buyer"""	BE	-1.1883805028	-1.657198489	-0.1273299901	1.0204448238	1.0253306079	0.9112355747	-1.2095602406	1.6903881575	0.3078874583	0.2946712792	0.10688001	0.7480660579	2.2	5.44	13	beoogde(2.2)	"Een profielschets van de beoogde Evita-lezeres maakt snel duidelijk dat zo'n <font color=""red"">koper</font> ook door andere uitgevers wordt geviseerd : een werkende dertiger met interesse voor wat er in de wereld gebeurt én die bewust leeft ."	6.46	29.9	13	de(6.46)	8.07	45.87	13	de(8.07)	1.64	4.61	13	beoogde(1.64)	6.1	32.14	13	de(6.1)	7.71	50.09	13	de(7.71)
koper/noun/DS_20010709_01/20626	"""copper"""	BE	7.8211665682	0.7291088492	-4.2990866928	-0.831412949	-1.7778148792	4.8634442131	5.5428397775	-5.4439660493	-2.3052759547	2.2277351624	-0.2761330036	4.625796536	5.19	8.23	6	houtblazers(5.19)	"De strijkers missen de ultieme zoetzijïgheid die hier zo belangrijk is , de houtblazers zijn uniform excellent , de <font color=""red"">kopers</font> produceren hemels lawaai maar missen al eens precisie ."	6.46	19.26	6	de(6.46)	8.07	27.79	6	de(8.07)	4.92	7.53	5	houtblazers(4.92)	6.1	19.22	5	de(6.1)	7.71	27.12	5	de(7.71)
koper/noun/DS_20010807_01/41883	"""buyer"""	BE	0.4682241462	0.6081061641	0.1391260706	3.190094147	2.6500934378	-0.3960868717	0.6611520399	-0.0105578354	1.2733171648	-0.4558461441	-0.7979286838	-0.117818896	1.66	4.21	9	kopen(1.66)	"De bomen moet hij kopen voor ze geveld zijn : spijtig voor de <font color=""red"">koper</font> als die na het vellen moet vaststellen dat vele stammen rot zijn ."	6.46	28.94	9	de(6.46)	8.07	41.37	9	de(8.07)	1.82	3.7	9	kopen(1.82)	6.1	29.92	9	de(6.1)	7.71	43.32	9	de(7.71)
koper/noun/DS_20011103_01/7967	"""buyer"""	BE	-2.0118391819	-3.3840635127	-0.8299265035	-0.8268502275	0.020830838	2.1255435229	3.5599670507	5.7328336057	-0.607445442	0.6678136246	0.715190546	1.7440998018	3.11	5.61	8	tussenpersoon(3.11)	"De centrale pion aan RUF-kant is Ibrahim Bah , die de tussenpersoon zou zijn tussen de RUF-bevelhebbers en de <font color=""red"">kopers</font> van Al-Qaeda en Hezbollah ."	6.46	32.15	8	de(6.46)	8.07	44.86	8	de(8.07)	3.24	4.97	8	tussenpersoon(3.24)	6.1	31.45	8	de(6.1)	7.71	44.12	8	de(7.71)
koper/noun/DS_20020404_01/45547	"""buyer"""	BE	1.8278774293	-2.9956283102	-1.4975152469	-4.1599091544	3.1863189967	3.0909283689	3.9468124637	2.9451806705	-1.7672763904	-1.7453859529	-0.7787462924	3.00785904	6.14	8.5	9	verkopers(6.14)	"De ronselaars raden zo'n advertentie niet alleen aan als steun voor de leden van de vzw , maar ook omdat de <font color=""red"">koper</font> er profijt van zal hebben ."	8.2	28.12	9	verkopers(8.2)	9.81	39.97	9	verkopers(9.81)	5.76	7.43	8	verkopers(5.76)	8.3	27.98	8	verkopers(8.3)	9.91	39.98	8	verkopers(9.91)
koper/noun/DS_20020613_01/30968	"""buyer"""	BE	0.1968847708	1.0287905215	1.0747246979	-1.3635376787	-1.2189902139	0.3997483364	-0.5859664687	0.3472873684	0.1825241686	1.9027518997	1.5653468404	0.5667633689	0.9	4.31	9	kiezen(0.9)	"Alleen de opsmuk zou de <font color=""red"">koper</font> nog zelf mogen kiezen ."	6.46	29.1	9	de(6.46)	8.07	41.75	9	de(8.07)	0.78	3.15	8	huis(0.78)	6.1	27.21	8	de(6.1)	7.71	38.42	8	de(7.71)
koper/noun/DS_20041104_01/55886	"""buyer"""	BE	-1.6848578608	-2.0059504394	-1.3321031364	-1.967856975	-0.4939261661	3.0674462604	0.9438450935	3.6219523751	-1.103943815	1.0093419248	1.2022407538	2.2302093034	3.27	7.23	7	anoniem(3.27)	"De <font color=""red"">koper</font> is particulier en anoniem ."	6.46	29.92	7	de(6.46)	8.07	40.97	7	de(8.07)	2.86	7.64	9	anoniem(2.86)	6.1	31.07	9	de(6.1)	7.71	43.93	9	de(7.71)
koper/noun/DS_20041108_01/7591	"""copper"""	BE	2.6676206984	8.365946484	-2.0834605223	-5.4989207202	-5.0093620605	3.6864914408	9.4928321493	-3.1664064062	-2.6140499705	3.5531039591	4.1760242553	4.3074979417	6.19	10.01	3	schetterde(6.19)	"Het <font color=""red"">koper</font> blonk en schetterde vorige zaterdag in de Gentse Vooruit ."	4.99	11.71	3	en(4.99)	6.6	16.48	3	en(6.6)	5.63	9.44	3	schetterde(5.63)	4.55	11.88	3	en(4.55)	6.15	16.65	3	en(6.15)
koper/noun/DS_20041126_01/22875	"""buyer"""	BE	0.5777052851	0.1583538726	1.7416422052	0.2596246947	0.0090918707	-0.0560281334	1.1053612706	0.3763574843	0.9562823908	1.149171553	0.9332583935	-0.0102435719	1.64	5.25	10	betaalde(1.64)	"De <font color=""red"">kopers</font> zijn bierdistributeurs en zijn niet onmiddellijk van plan een andere bestemming te geven aan het café ."	6.46	37.89	10	De(6.46)	8.07	53.17	10	De(8.07)	1.55	5.74	11	betaalde(1.55)	6.1	39.72	11	De(6.1)	7.71	56.43	11	De(7.71)
koper/noun/DS_20050115_01/97088	"""buyer"""	BE	-0.18287653	0.6042694655	0.0174304838	0.8478736632	0.7256210527	0.8622311755	-1.8301884063	0.2241839456	0.2559707364	0.4457657278	0.0336599701	0.812604895	0.5	2.25	7	hoeft(0.5)	"Comfort hoeft de <font color=""red"">koper</font> niet te ontberen , want de Patrol is een luxeschuit binnenin ."	6.46	24.59	7	de(6.46)	8.07	35.09	7	de(8.07)	1.15	3.0	9	Comfort(1.15)	6.1	26.11	9	de(6.1)	7.71	38.62	9	de(7.71)
koper/noun/DS_20050903_01/65235	"""buyer"""	BE	0.7827688608	-0.4757848396	0.2175171448	0.8728928597	0.9396571495	0.7513926463	1.5334191796	0.53611269	0.3379514674	0.3067090082	0.3759479611	0.6874263167	1.95	6.51	12	laste(1.95)	"Die zijn ten laste van de <font color=""red"">koper</font> ."	6.46	35.96	12	de(6.46)	8.07	52.06	12	de(8.07)	2.03	6.38	13	verkoop(2.03)	6.1	38.89	13	de(6.1)	7.71	57.33	13	de(7.71)
koper/noun/DS_20050913_01/38383	"""buyer"""	BE	-2.013525307	0.9045731165	-0.2419624946	0.4328423343	0.1288507478	1.5230493392	-1.6960208566	3.3367013807	-0.0747375862	0.5600517915	0.0509867606	1.5590302607	1.18	3.26	6	zakenman(1.18)	"De <font color=""red"">koper</font> is een Congolese zakenman ."	6.46	24.13	6	De(6.46)	8.07	33.47	6	De(8.07)	1.13	3.73	7	zakenman(1.13)	6.1	25.21	7	De(6.1)	7.71	35.83	7	De(7.71)
koper/noun/DT_19990910_01/22944	"""buyer"""	BE	0.3203240663	0.3639666209	1.3475957168	1.8584331414	1.3386113144	-0.6612597553	0.3910367429	0.817977421	1.2501565123	0.0018829383	-0.025611601	-0.3466842924	1.34	7.54	16	vennootschap(1.34)	"De <font color=""red"">koper</font> moet dan ook duidelijke motieven hebben om een vennootschap te recycleren ."	6.46	34.99	16	De(6.46)	8.07	56.62	16	De(8.07)	1.88	8.52	16	vennootschap(1.88)	6.1	42.23	16	De(6.1)	7.71	65.76	16	De(7.71)
koper/noun/DT_20010105_01/97791	"""buyer"""	BE	-1.2190238957	-1.7489058449	1.8766756034	5.4228894396	3.4441684166	-1.9123043162	0.9127846018	3.1761431973	1.5801795566	-1.9355004452	-1.3991253532	-1.3883048052	5.44	11.56	12	potentiële(5.44)	"Tegen ongewenste lekken kunt u zich beschermen door potentiële <font color=""red"">kopers</font> bij de eerste kennismaking een geheimhoudingsovereenkomst te laten ondertekenen ."	7.68	37.23	12	potentiële(7.68)	9.29	54.1	12	potentiële(9.29)	4.91	10.19	11	potentiële(4.91)	7.59	38.2	11	potentiële(7.59)	9.2	54.79	11	potentiële(9.2)
koper/noun/DT_20010118_01/76819	"""buyer"""	BE	0.8114623745	0.4760769897	0.937237607	2.1602357617	1.5743716774	-0.1289791409	1.2144860458	-0.7729874149	1.4382786065	0.2343175526	0.2777319574	-0.4944601108	1.83	7.0	12	prijs(1.83)	"Bij RAD , importeur van het Italiaanse Aprilia , wijst Peter dHaese ook op het feit dat bij relatief weinig prijsverschil de <font color=""red"">koper</font> gemakkelijker naar een Europees merk gaat ."	6.46	37.17	12	de(6.46)	8.07	54.44	12	de(8.07)	2.84	10.01	15	prijsverschil(2.84)	6.1	41.51	15	de(6.1)	7.71	62.44	15	de(7.71)
koper/noun/DT_20010119_01/93652	"""buyer"""	BE	1.5688065895	-0.6893793892	4.059972019	-3.9610902953	-3.8479376647	-0.6769129278	1.8171066123	1.6587108727	3.3883835972	-0.086162386	3.0174246467	-0.8756815784	6.14	15.66	10	verkoper(6.14)	"Er is dan geen discussie meer over de geldigheid van een fax of e-mailbericht tussen bijvoorbeeld huurder en verhuurder , of tussen <font color=""red"">koper</font> en verkoper ."	8.2	41.1	10	verkoper(8.2)	9.81	56.72	10	verkoper(9.81)	5.76	13.6	10	verkoper(5.76)	8.3	41.28	10	verkoper(8.3)	9.91	57.01	10	verkoper(9.91)
koper/noun/DT_20010320_01/22425	"""buyer"""	BE	1.7278769487	-2.0478463881	8.8604752819	-1.7657972386	-4.9369236682	6.4308852058	2.0016297906	0.2794391605	3.6094421811	4.3643990193	4.9188830134	-2.6093613394	1.75	4.81	7	handelaar(1.75)	"Allicht een grote <font color=""red"">koper</font> , becommentarieert een handelaar ."	5.33	17.24	7	een(5.33)	6.94	27.25	7	een(6.94)	1.62	5.93	8	handelaar(1.62)	5.28	25.89	8	een(5.28)	6.88	38.25	8	een(6.88)
